knn_pm25_5D7A_K05,2018-08-05T13:15:00,2018-08-11T18:15:00,4722
knn_pm25_5D7A_K06,2018-07-09T03:30:00,2018-07-24T02:15:00,4157
knn_pm25_5D7A_K07,2018-07-09T03:30:00,2018-07-24T02:15:00,3973
knn_pm25_5D7A_K08,2018-07-09T03:30:00,2018-07-24T02:15:00,3466
knn_pm25_5D7A_K09,2018-07-09T03:30:00,2018-07-22T09:00:00,1765
knn_pm25_5D7A_K10,2018-07-09T03:30:00,2018-07-19T22:15:00,1868
knn_pm25_72CA_K01,2018-03-22T12:45:00,2018-07-09T03:00:00,10426
knn_pm25_72CA_K02,2018-04-06T05:15:00,2018-07-09T03:00:00,9016
knn_pm25_72CA_K03,2018-08-13T03:45:00,2018-09-25T14:00:00,7755
knn_pm25_72CA_K04,2018-07-31T08:15:00,2018-08-11T18:15:00,5298
knn_pm25_72CA_K05,2018-08-05T13:15:00,2018-08-11T18:15:00,4689
knn_pm25_72CA_K06,2018-07-09T03:30:00,2018-07-24T02:15:00,4158
knn_pm25_72CA_K07,2018-07-09T03:30:00,2018-07-24T02:15:00,4001
knn_pm25_72CA_K08,2018-07-09T03:30:00,2018-07-24T02:15:00,2951
knn_pm25_72CA_K09,2018-07-09T03:30:00,2018-07-23T22:45:00,3195
knn_pm25_72CA_K10,2018-07-09T03:30:00,2018-07-19T22:15:00,1899
knn_pm25_8E2A_K01,2018-03-22T12:45:00,2018-07-09T03:00:00,10426
knn_pm25_8E2A_K02,2018-04-06T05:15:00,2018-07-09T03:00:00,9016
knn_pm25_8E2A_K03,2018-08-13T03:45:00,2018-09-25T14:00:00,7398
knn_pm25_8E2A_K04,2018-09-07T12:30:00,2018-09-25T14:00:00,7680
knn_pm25_8E2A_K05,2018-07-31T17:30:00,2018-08-11T18:15:00,5248
knn_pm25_8E2A_K06,2018-08-05T13:15:00,2018-08-11T18:15:00,4603
knn_pm25_8E2A_K07,2018-07-09T03:30:00,2018-07-24T02:15:00,4116
knn_pm25_8E2A_K08,2018-07-09T03:30:00,2018-07-24T02:15:00,3757
knn_pm25_8E2A_K09,2018-08-09T05:00:00,2018-08-11T18:15:00,2959
knn_pm25_8E2A_K10,2018-08-13T03:45:00,2018-08-17T07:45:00,2001
knn_pm25_91B8_K01,2018-03-22T12:45:00,2018-07-09T03:00:00,10426
knn_pm25_91B8_K02,2018-04-06T09:45:00,2018-07-09T03:00:00,9002
knn_pm25_91B8_K03,2018-08-13T03:45:00,2018-09-25T14:00:00,7774
knn_pm25_91B8_K04,2018-08-13T03:45:00,2018-09-25T14:00:00,7685
knn_pm25_91B8_K05,2018-07-31T17:30:00,2018-08-11T18:15:00,5248
knn_pm25_91B8_K06,2018-08-05T13:15:00,2018-08-11T18:15:00,4592
