Monitor ID,113E,1FD7,20CA,2E9C,3ACF,498F,4BE7,56C3,5D7A,603A,72CA,8E2A,91B8,97D7,A838,A9BE,AnandVihar_DPCC,AshokVihar_DPCC,AyaNagar_IMD,BB4A,BC46,BFDC,BurariCrossing_IMD,C0A7,CBC7,CRRIMathuraRoad_IMD,D385,D804,DF07,DKSSR_DPCC,DTU_CPCB,DwarkaSector8_DPCC,E1F8,E47A,E486,E8E4,EAC8,EastArjunNagar_CPCB,IGIAirport_IMD,IHBAS_CPCB,ITO_CPCB,JNS_DPCC,Jahangirpuri_DPCC,LodhiRoad_IMD,MDCNS_DPCC,MandirMarg_DPCC,Mundaka_DPCC,NSIT_CPCB,NehruNagar_DPCC,OkhlaPhase2_DPCC,Patparganj_DPCC,PunjabiBagh_DPCC,Pusa_DPCC,Pusa_IMD,RKPuram_DPCC,Rohini_DPCC,Shadipur_CPCB,Sirifort_CPCB,SoniaVihar_DPCC,SriAurobindoMarg_DPCC,VivekVihar_DPCC,Wazirpur_DPCC
JNS_DPCC,4065,4521,7146,7454,5656,2623,5503,4540,16965,5064,15952,16057,9772,3961,5138,2901,10911,13738,17163,4767,7929,6835,16425,26122,5257,5051,3501,3472,2085,9551,22306,15875,964,4933,14386,3931,6460,9780,11497,13044,5899,0,17999,1430,3457,6999,19244,19946,2133,6596,7104,14459,10800,10800,4960,20217,11570,3743,14514,6905,12943,14837
Jahangirpuri_DPCC,22059,18703,17563,23329,21939,20509,22622,21405,28573,14522,33817,29062,25508,18761,13049,20104,17109,4287,29652,19847,15990,23851,3086,37346,14639,22505,19131,19703,20046,27548,6106,20364,18822,21395,29353,18777,21486,14149,19536,14101,13599,17999,0,16580,14982,11089,10627,19242,19878,24458,16612,7577,10598,10598,18860,4954,9299,20694,8091,22411,15641,3695
LodhiRoad_IMD,5479,4633,6756,8290,6519,3968,6610,5529,17346,3960,17379,16614,10649,4176,3821,3931,10605,12314,17669,5198,7538,7944,15051,26597,4205,6384,3944,4148,3473,10968,20885,15377,2264,5811,15448,4157,7033,9101,11167,12335,4920,1430,16580,0,2386,5570,17975,19146,3492,8016,6844,13103,9535,9535,5062,18798,10243,4721,13331,7625,12393,13407
MDCNS_DPCC,7369,6871,8532,10674,8900,6064,8921,7883,19599,4881,18839,18946,13033,6472,1942,6260,8611,10813,19980,7542,5532,10258,13170,28884,5205,7525,6308,6533,5499,12770,19732,16824,4417,8189,15548,6457,9396,6807,12887,10006,2535,3457,14982,2386,0,4542,17732,20070,4969,9505,5031,12540,9482,9481,7281,17697,9901,7074,11057,10008,10161,12090
MandirMarg_DPCC,11022,7976,7893,12562,11025,9439,11584,10379,19693,3919,22944,19575,14859,7907,2818,9023,11299,6803,20419,9050,8577,12848,9888,28975,4162,11812,8172,8698,8998,16504,15349,14565,7769,10428,20072,7916,10837,8565,11517,11089,4759,6999,11089,5570,4542,0,13293,16756,9005,13573,8539,8017,5370,5370,8226,13279,5514,9642,9477,11695,11852,7838
Mundaka_DPCC,22654,17350,14737,21224,20531,20994,21726,20604,22520,14238,34512,23761,22783,17732,16111,19976,23780,10339,23939,18424,21515,22584,12993,30054,14108,24290,18387,19056,20780,27651,7999,12604,19668,20286,33252,17766,19364,20716,14105,22087,17890,19244,10627,17975,17732,13293,0,9419,21374,25563,21671,5451,8445,8445,17250,6787,7832,20178,17138,20302,23369,8846
NSIT_CPCB,22041,16249,13142,18387,18516,20621,19936,19146,15515,15296,32519,17344,19042,16821,19161,19286,28035,17436,17107,16935,25190,20278,20941,21529,15005,24437,17548,18124,20674,25821,17414,5711,19921,18613,34196,16861,16940,25308,9810,27579,21358,19946,19242,19146,20070,16756,9419,0,21806,24916,24958,12022,11625,11625,15935,16128,12166,19083,24002,17665,28518,16428
NehruNagar_DPCC,2557,5835,8782,7463,5756,1982,5074,4520,17473,7171,13961,16302,9588,5231,6854,3173,10845,15652,17476,5671,8120,6286,18138,26411,7348,2918,4580,4237,1497,7809,24350,17479,1885,5089,12409,5193,6995,10320,12978,13546,7072,2133,19878,3492,4969,9005,21374,21806,0,4586,7156,16582,12931,12931,6242,22270,13701,3898,15807,7162,13195,16819
OkhlaPhase2_DPCC,2951,8725,11824,7668,6691,4577,5304,5818,17559,11348,9377,15886,8925,8193,11419,5739,13587,20237,17140,7982,11451,5684,22659,25725,11460,2274,7468,6843,4795,3625,28901,20012,5965,6403,9909,8154,8333,13908,15411,16946,11386,6596,24458,8016,9505,13573,25563,24916,4586,0,10420,20981,17178,17178,9002,26812,18053,5835,20032,7938,16268,21399
Patparganj_DPCC,9599,11444,13488,14430,12647,9035,12185,11452,24062,9903,18807,23146,16663,10944,5845,9870,3807,13018,24263,11851,1030,13432,14081,33223,10231,8150,10576,10574,8457,14045,22173,21855,7912,11932,12748,10919,13562,3533,17877,6538,3797,7104,16612,6844,5031,8539,21671,24958,7156,10420,0,16255,13894,13894,11880,20315,14019,10707,10298,13965,6044,14584
