"utmx","utmy","observed"
726.377415187656,3171.05322321194,1
713.14199369187,3176.1862354132,1
706.571503447317,3151.15876696426,1
722.427627404771,3160.37406589152,1
706.154728516105,3182.1212467077,1
721.683115868203,3154.52489594587,1
702.654662371215,3162.21350229521,1
707.181490913226,3161.37797987536,1
724.983243251408,3174.8335923755,1
719.898088710951,3169.25074441041,1
711.988360163835,3180.31592399355,1
718.478133752073,3163.52379927426,1
717.816306479351,3164.79139167934,1
718.796296427885,3166.96681096249,1
715.158477077118,3169.68739828392,1
698.732360471095,3166.36571468338,1
720.136364951291,3162.18117771068,1
722.243597680943,3158.10708091406,1
723.60791738948,3168.44010128936,1
708.235406194541,3173.7321405253,1
709.793498163162,3169.94634568558,1
713.925110816184,3161.55301299749,1
707.034964135944,3180.19435143861,1
709.872342574542,3171.25962416274,1
716.789030084571,3160.182439,1
719.737990692557,3177.98592210999,1
726.247115075557,3173.87882917811,1
711.548841606531,3176.64634326331,1
697.318146908722,3149.15876696426,0
727.791628750029,3149.15876696426,0
728.377415187655,3149.74455340189,0
728.377415187656,3183.53546027007,0
727.791628750029,3184.1212467077,0
697.318146908722,3184.1212467077,0
696.732360471095,3183.53546027007,0
696.732360471095,3149.74455340189,0
696.732360471095,3166.64000683598,0
728.377415187655,3166.64000683598,0
712.554887829376,3149.15876696426,0
712.554887829375,3184.1212467077,0
728.377415187655,3175.08773355303,0
704.936517369049,3184.1212467077,0
704.936517369049,3149.15876696426,0
728.377415187655,3158.19228011893,0
728.377415187655,3170.8638701945,0
720.173258289702,3149.15876696426,0
720.173258289702,3184.1212467077,0
696.732360471095,3158.19228011893,0
708.745702599212,3149.15876696426,0
708.745702599212,3184.1212467077,0
701.127332138884,3153.55373863204,0
696.732360471095,3175.08773355303,0
700.997445032546,3179.85616214624,0
728.377415187656,3179.31159691155,0
711.369501921954,3155.56267936754,0
703.769412959968,3169.68058057141,0
716.364073059539,3153.12602759813,0
703.057868670417,3174.95209797258,0
706.268355156078,3156.30467357477,0
