"utmx","utmy","observed"
711.371527810736,3162.7608650414,1
716.681984533585,3156.92730209162,1
716.056985850131,3161.03425024214,1
714.675082697546,3160.64853978394,1
732.119579175462,3158.94497668315,1
717.231082638117,3160.90384539491,1
726.779289503404,3149.89850189251,1
705.614601756836,3152.45872232211,1
700.173238744106,3144.8834383856,1
718.61910792598,3160.90437833298,1
715.949192568082,3159.28722232795,1
723.734587921697,3169.46278929903,1
716.939737406616,3158.23907445114,1
714.636605610243,3157.1343982626,1
718.293291947783,3162.57741134132,1
714.316157789652,3161.75506138347,1
713.727862553274,3165.77826780847,1
713.921817427193,3154.87756178692,1
698.759025181733,3142.8834383856,0
733.533792737835,3142.8834383856,0
734.119579175462,3143.46922482323,0
734.119579175462,3170.8770028614,0
733.533792737835,3171.46278929903,0
698.759025181733,3171.46278929903,0
698.173238744106,3170.8770028614,0
698.173238744106,3143.46922482323,0
734.119579175462,3157.17311384231,0
716.146408959784,3171.46278929903,0
724.84010084881,3171.46278929903,0
734.119579175462,3164.02505835186,0
716.146408959784,3142.8834383856,0
724.840100848809,3142.8834383856,0
698.173238744106,3157.17311384232,0
707.452717070758,3142.8834383856,0
698.173238744106,3150.32116933277,0
734.119579175462,3160.59908609709,0
703.105871126246,3142.8834383856,0
698.173238744106,3146.895197078,0
720.493254904297,3171.46278929903,0
707.452717070759,3171.46278929903,0
700.932448153989,3142.8834383856,0
698.173238744106,3164.02505835186,0
729.186946793323,3171.46278929903,0
703.105871126246,3171.46278929903,0
729.186946793322,3142.8834383856,0
704.926580068915,3159.60277604817,0
719.514675596688,3150.22953674572,0
734.119579175462,3150.32116933277,0
723.558240128734,3156.03836657281,0
711.250733230164,3148.57659142551,0
726.064272418707,3162.71881612388,0
705.279294098502,3165.72668465889,0
729.743424427137,3154.24819188231,0
709.560885191931,3157.50037447403,0
